,symbol,company_name,company_description,exchange,website,exchange_short_name,industry,country,sector,ipo_date,min_date,max_date,date_count,news_page,reports_page
10,2317.T,Systena Corporation,"Systena Corporation engages in the solution and framework design, IT service, business solution, and cloud businesses in Japan. It also designs, manufactures, and sells IoT/M2M routers, LTE/3G/WiMAX2+/PHS routers, Wi-Fi board, Android terminal, wireless digital signage, antenna, etc., as well as software development, evaluation and verification, and IT services. In addition, the company is involved in the provision of BPO service, IT support service, various market research, and welfare, and employment consulting services for people with disabilities; and planning and operation of social games for mobiles, smartphones, and PCs. Further, it engages in the planning, development, sale, and other services in the fields of AI, IoT, robots, fintech, and social media; mobile and communication development and verification support, solution, and consumer businesses, including SNS gaming; research and development of smart devices and automotive devices; trend survey of the technologies and services; development and sales of computer and related equipment software products, encryption and certification products, and IoT solution packages; and provision of personnel for computer engineers and technicians. The company was founded in 1981 and is headquartered in Tokyo, Japan.",Tokyo Stock Exchange,https://www.systena.co.jp,JPX,Information Technology Services,JP,Technology,2004-11-15,2004-11-15,2023-11-06,4670,,
11,2658.KL,Ajinomoto (Malaysia) Bhd,"Ajinomoto (Malaysia) Berhad manufactures and sells monosodium glutamate and other related products in Malaysia. It operates through Consumer Business and Industrial Business segments. The company’s retail products include AJI-NO-MOTO, a monosodium glutamate product; Rasa Sifu, a seasoning product; TUMIX, a chicken stock seasoning product; SERI-AJI, a menu specific seasoning; AJI-SHIO, a seasoning that includes flavored pepper and black pepper; AJI-MIX, a blended seasoning; AJI-NO-MOTO plus, a flavor enhancer used in various dishes; aminoVITAL, a jelly sports drink; and Pal Sweet, a sugar free sweetener. In addition, it provides industrial products comprising hydrolysed vegetable protein products in liquid and powder forms; AJI-AROMA, an enhancer of taste and aroma; AJIMATE, a flavor enhancer; and ACTIVA TG preparation, which is an enzyme that catalyzes the polymerization and cross linking of proteins. The company’s industrial products are used by industrial producers in food processing, such as instant noodles, soups, snacks, sauces, dairy products, processed meat, and seafood. It exports its products to the Middle East, other Asian countries, and internationally. The company was incorporated in 1961 and is headquartered in Kuala Lumpur, Malaysia. Ajinomoto (Malaysia) Berhad is a subsidiary of Ajinomoto Co., Inc.",Bursa Malaysia,www.ajinomoto.com.my,KLS,Packaged Foods,MY,Consumer Defensive,2000-01-03,2004-01-01,2023-11-06,4806,,
12,AUKNY,Auckland International Airport Limited,"Auckland International Airport Limited provides airport facilities, supporting infrastructure, and aeronautical services in Auckland, New Zealand. The company operates through three segments: Aeronautical, Retail, and Property. The Aeronautical segment provides services that facilitate the movement of aircraft, passengers, and cargo, as well as utility services, which support the airport; and leases space for facilities, such as terminals. The Retail segment offers services to the retailers within the terminals; and car parking facilities for passengers, visitors, and airport staff. The Property segment leases cargo buildings, hangars, and stand-alone investment properties. The company was founded in 1966 and is based in Manukau, New Zealand.",OTC Markets Group Pink Sheets,https://www.aucklandairport.co.nz,PNK,Airports & Air Services,NZ,Industrials,2011-02-14,2011-02-14,2012-05-30,326,,
13,FPR.AX,FleetPartners Group Limited,"FleetPartners Group Limited provides fleet management services in Australia and New Zealand. The company operates in three segments: Australia Commercial, Novated, and New Zealand Commercial. It offers vehicle fleet leasing and management, novated leasing, and vehicle sales solutions. The company provides its services under the FleetPlus, FleetPartners, FleetChoice, and 1800 Accident brands. The company was formerly known as Eclipx Group Limited and changed its name to FleetPartners Group Limited in March 2023. FleetPartners Group Limited was founded in 1987 and is based in St Leonards, Australia.",Australian Securities Exchange,https://eclipxgroup.com,ASX,Rental & Leasing Services,AU,Industrials,2015-04-22,2015-04-22,2023-11-06,2162,,
14,PGN.DE,paragon GmbH & Co. KGaA,"paragon GmbH & Co. KGaA develops, produces, and distributes automotive electronics, body kinematics, and e-mobility solutions for the automotive industry in Germany, European Union, and internationally. It operates through two segments, Electronics and Mechanics. The Electronics segment develops and sells sensors, microphones, and instruments primarily for the automotive industry. The Mechanics segment develops and markets electromechanical components for the automotive and mechanical manufacturing industries. The company was founded in 1988 and is headquartered in Delbrück, Germany.",Frankfurt Stock Exchange,https://www.paragon.ag,XETRA,Auto Parts,DE,Consumer Cyclical,2000-11-29,2000-11-29,2023-11-06,5809,https://paragon.ag/medien/news,
15,SEB-A.ST,Skandinaviska Enskilda Banken AB (publ),"Skandinaviska Enskilda Banken AB (publ) provides corporate, retail, investment, and private banking services. It operates through Large Corporates & Financial Institutions, Corporate & Private Customers, Baltic, Life, and Investment Management divisions. The company offers research and strategy services; analysis, advisory, execution, and trading services in the foreign exchange, fixed income, equities, and commodities markets; transaction services, including cash management, trade and supply chain finance, and business services; and investor services. It also provides investment banking services, such as corporate finance advisory services related to acquisitions, divestments, and mergers; equity capital market services related to initial public offerings, rights issues, and placings; debt transaction services comprising bonds, corporate acquisition financing, and general corporate refinancing services; leveraged and structured finance services, as well as real estate and shipping finance services. In addition, the company offers venture capital for entrepreneurs and innovators; asset management products that include equities, fixed income securities, hedge funds, commodities, and private equity solutions; and pensions, life insurance, health care insurance, and disability insurance. It serves large corporations and financial institutions, private customers, and small and medium-sized corporates. The company offers its services through 156 branch offices. It operates in Sweden, Norway, Denmark, Finland, Estonia, Latvia, Lithuania, Germany, the United Kingdom, the United States, Ireland, Luxembourg, China, Singapore, Russia, Poland, Hong Kong, Ukraine, and internationally. The company was founded in 1856 and is headquartered in Stockholm, Sweden.",Nasdaq Stockholm,https://sebgroup.com,STO,Banks,SE,Financial Services,2000-01-03,2000-01-04,2023-11-06,5908,https://sebgroup.com/press/news,https://sebgroup.com/investor-relations/reports-and-presentations
16,7459.T,MediPal Holdings Corporation,"Medipal Holdings Corporation engages in the prescription pharmaceutical wholesale business in Japan. It procures healthcare products related to diagnostics, testing, treatment, and administration comprises medical equipment and medical materials, and clinical diagnostic reagents for use from the pre-symptomatic stage; handles PMS services on contract for manufacturers; and invests in orphan drugs and other products. The company is also involved in the wholesale of cosmetics, daily necessities, and OTC pharmaceuticals; animal health products for companion animals; food processing raw materials for agriculture, fisheries, and livestock; and livestock feed additives, seasonings, veterinary medical equipment, packaging materials, industrial chemicals, and other products. In addition, it engages in the contract-based epidemiological studies, clinical studies, etc.; creation of a computerized medical supply database and master product databases for medical facilities; health insurance claims reviews, medical coding dispatch, outsourcing, and remote education activities; life and non-life insurance agency business; cleaning management; management and operation of distribution centers; commissioned delivery and worker dispatch business; and planning, management, administration, and product and service development for the class A health dispensing pharmacies service brand. Medipal Holdings Corporation serves hospitals, clinics, dispensing pharmacies, drugstores, home centers, convenience stores, supermarkets, discount stores, animal hospitals, livestock and fishery businesses, and processed food manufacturers. The company was formerly known as Mediceo Paltac Holdings Co., Ltd. and changed its name to Medipal Holdings Corporation in October 2009. Medipal Holdings Corporation was founded in 1898 and is headquartered in Tokyo, Japan.",Tokyo Stock Exchange,https://www.medipal.co.jp,JPX,Medical Distribution,JP,Healthcare,2001-01-01,2001-01-02,2023-11-06,5653,https://www.medipal.co.jp:443/news/,
17,BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,"Bayerische Motoren Werke Aktiengesellschaft, together with its subsidiaries, develops, manufactures, and sells automobiles and motorcycles, and spare parts and accessories worldwide. It operates through Automotive, Motorcycles, and Financial Services segments. The Automotive segment is involved in the development, manufacture, assembling, and sale of automobiles, spare parts, accessories, and mobility services under the BMW, MINI, and Rolls-Royce brands. This segment sells its products through independent and authorized dealerships. The Motorcycles segment develops, manufactures, assembles, and sells motorcycles and scooters under the BMW Motorrad brand name, as well as spare parts and accessories. The Financial Services segment engages in automobile leasing, retail and dealership financing, multi-brand fleet, customer deposit, and insurance activities; and the provision of fleet management services under the Alphabet brand. The company was founded in 1916 and is based in Munich, Germany.",Frankfurt Stock Exchange,https://www.bmwgroup.com,XETRA,Auto Manufacturers,DE,Consumer Cyclical,1996-11-08,2000-01-04,2023-11-06,6040,https://www.bmwgroup.com/en/company/news.html,
18,019170.KS,"Shin Poong Pharm.Co.,Ltd.","Shin Poong Pharm.Co.,Ltd. manufactures and sells pharmaceutical products in South Korea. The company offers cephalosporin antibiotics; penicillin antibiotics; and finished products. It also provides active pharmaceutical ingredients; Pyramax, an anti-malarial drug; drugs for treating hypercholesterolemia, knee osteoarthritis and shoulder periarthritis, and surgical adhesion barrier; and over the counter products. The company also exports its products to approximately 50 countries. Shin Poong Pharm.Co.,Ltd. was founded in 1962 and is headquartered in Seoul, South Korea.",Korea Stock Exchange,https://shinpoong.co.kr,KSC,Drug Manufacturers—Specialty & Generic,KR,Healthcare,2000-01-04,2004-01-01,2023-11-06,4907,,
19,VNET,"VNET Group, Inc.","VNET Group, Inc., an investment holding company, provides hosting and related services in China. It offers managed hosting services consisting of managed retail services, such as colocation services that dedicate data center space to house customers' servers and networking equipment, as well as allow customers to lease partial or entire cabinets for their servers; server administration services; interconnectivity services that allow customers to connect their servers; value-added services, including hybrid IT, bare metal, firewall, server load balancing, data backup and recovery, data center management, server management, and backup server services; cloud services that allow customers to run applications over the internet using IT infrastructure; VPN Services that extend customers' private networks by setting up connections through the public internet. The company also provides operating system support and assistance with updates, server monitoring, server backup and restoration, server security evaluation, firewall services, and disaster recovery services; site selection, planning, design, and construction services for wholesale and retail data centers. It serves information technology and cloud services, communications and social networking, gaming and entertainment, e-commerce, automobile, financial services, and blue-chip and small-to-mid-sized enterprises; government agencies; individuals; and telecommunication carriers. As of December 31, 2021, it operated 40 self-built data centers and 64 partnered data centers with 78,540 cabinets under management. The company was formerly known as 21Vianet Group, Inc. and changed its name to VNET Group, Inc. in October 2021. VNET Group, Inc. was founded in 1999 and is headquartered in Beijing, the People's Republic of China.",NASDAQ Global Select Market,https://ir.vnet.com,NASDAQ,Information Technology Services,CN,Technology,2011-04-21,2011-04-21,2023-11-06,3157,https://ir.vnet.com/news-events/press-releases,
20,0840.HK,Xinjiang Tianye Water Saving Irrigation System Company Limited,"Xinjiang Tianye Water Saving Irrigation System Company Limited designs, manufactures, and sells drip tapes, PVC/PE pipelines, and drip assemblies for use in water saving irrigation systems in the People's Republic of China. It also offers installation services for water saving irrigation systems. In addition, the company engages in land circulation and engineering business; and strategic developing digital agriculture and agriculture service business. The company was founded in 1999 and is headquartered in Shihezi, the People's Republic of China.",Hong Kong Stock Exchange,https://www.tianyejieshui.com.cn,HKSE,Farm & Heavy Construction Machinery,CN,Industrials,2008-01-24,2006-02-28,2023-11-06,4312,,
21,ANDE,"The Andersons, Inc.","The Andersons, Inc., an agriculture company, operates in trade, renewables, and plant nutrient sectors in the United States and internationally. The company's Trade segment operates grain elevators; stores commodities; and provides grain marketing, risk management, and origination services to its customers and affiliated ethanol facilities. This segment also engages in the commodity merchandising business, as well as offers logistics for physical commodities, such as whole grains, grain products, feed ingredients, domestic fuel products, and other agricultural commodities. Its Renewables segment produces, purchases, and sells ethanol, and co-products, as well as offers facility operations, risk management, and ethanol and coproducts marketing services to the ethanol plants it invests in and operates. The company's Plant Nutrient segment manufactures, distributes, and retails agricultural and related plant nutrients, corncob-based products, and pelleted lime and gypsum products; and crop nutrients, crop protection chemicals, and seed products, as well as provides application and agronomic services to commercial and family farmers. It also offers warehousing, packaging, and manufacturing services to nutrient producers and other distributors; and manufactures and distributes various industrial products, such as nitrogen reagents for air pollution control systems that are used in coal-fired power plants, and water treatment and dust abatement products. In addition, this segment produces corncob-based products for laboratory animal bedding and private-label cat litter, as well as absorbents, blast cleaners, carriers, and polishers; professional lawn care products for golf course and turf care markets; fertilizer and weed and pest control products; pelleted lime, gypsum, and value add soil amendments; and specialty ag liquids, seed starters, zinc, and industrial liquids. The Andersons, Inc. was founded in 1947 and is based in Maumee, Ohio.",NASDAQ Global Select Market,https://andersonsinc.com,NASDAQ,Food Distribution,US,Consumer Defensive,1996-02-20,2000-01-04,2023-11-06,5981,https://news.andersonsinc.com/,https://investors.andersonsinc.com/annual-reports
22,WEGZY,WEG S.A.,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It also provides solutions for the generation of renewable and distributed energy through hydro, thermal biomass, wind, and solar energy power plants; solutions for various industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electro electronic equipment systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaragua do Sul, Brazil.",OTC Markets Group Pink Sheets,https://www.weg.net/institutional/BR/en/,PNK,Specialty Industrial Machinery,BR,Industrials,2011-04-06,2010-10-04,2011-06-16,178,https://www.weg.net/institutional/BR/en/all-news/all,
23,WCMK.DE,WCM Beteiligungs- und Grundbesitz-AG,"WCM Beteiligungs- und Grundbesitz-AG is a real estate investment firm. It previously operated as an international industrial company. WCM Beteiligungs- und Grundbesitz-AG was founded in 1766 and is based in Frankfurt am Main, Germany.",Frankfurt Stock Exchange,https://www.wcm.de,XETRA,Real Estate—Development,DE,Real Estate,2000-01-03,2000-01-04,2011-05-27,2883,,
24,PINC,"Premier, Inc.","Premier, Inc., together with its subsidiaries, operates as a healthcare improvement company in the United States. It operates in two segments, Supply Chain Services and Performance Services. The Supply Chain Services segment offers its members with an access to a range of products and services, including medical and surgical products, pharmaceuticals, laboratory supplies, capital equipment, information technology, facilities and construction, and food and nutritional products, as well as purchased services, such as clinical engineering and workforce solutions. This segment also provides the ASCENDrive programs for members to receive group purchasing programs, tiers, and prices; SURPASS Performance Group services; STOCKD, an e-commerce platform; PROVIDEGX program, which identifies supply sources for drugs that are on or may be at risk of being added to the national drug shortage list, or that are vulnerable to pricing volatility, as well as direct sourcing business; SaaS informatics products; supply chain co-management services; purchased services contracts; direct sourcing solutions; and supply chain resiliency programs. The Performance Services segment provides technology and services platform with offerings that help optimize performance in three main areas, including clinical intelligence, margin improvement, and value-based care under the PINC AI brand; third party administrator services and management of health benefit programs under the Contigo Health brand; and digital invoicing and payables services that offers financial support services to healthcare product suppliers and service providers under the Remitra brand. The company also provides services to other businesses, including food service, schools, and universities. Premier, Inc. was incorporated in 2013 and is headquartered in Charlotte, North Carolina.",NASDAQ Global Select Market,https://www.premierinc.com,NASDAQ,Health Information Services,US,Healthcare,2013-09-26,2013-09-26,2023-11-06,2546,https://premierinc.com/newsroom,
25,LPDC.NS,Landmark Property Development Company Limited,"Landmark Property Development Company Limited engages in the real estate development business in India. It also offers advisory and consultancy services to overseas investors for investment reports, including presentation of the financial and economic aspects of the proposed investment, business plans for the proposed investment, and various other information requested by the advisee. The company was formerly known as Konark Minerals Limited and changed its name to Landmark Property Development Company Limited in January 2008. Landmark Property Development Company Limited was incorporated in 1976 and is based in New Delhi, India.",National Stock Exchange of India,https://www.landmarkproperty.in,NSE,Real Estate Services,IN,Real Estate,2008-08-12,2008-08-26,2023-11-06,3740,,
26,AMI.V,Athabasca Minerals Inc.,"Athabasca Minerals Inc. develops and supplies aggregates and industrial minerals in Canada. The company operates through four segments: AMI Aggregates, AMI Silica, AMI RockChain, and TerraShift. It holds interest in the Richardson Quarry project comprising three metallic and industrial mineral leases covering an area of 3,904 hectares located to the north of Fort McMurray region. The company also holds interests in the Montney In-Basin project situated in the vicinity of Dawson Creek, Alberta and Fort St. John, British Columbia; the Duvernay project located in Alberta; and Firebag silica sand deposit located north of Fort McMurray, Alberta. In addition, it constructs, operates, and manages the Coffey Lake Public Pit located in north of Fort McMurray, Alberta. Further, it operates RockChain, a digital platform to provide integrated supply and transportation solutions industrial and construction markets; and offers engineering and project services, as well as proprietary technology applications, such as TerraMaps. The company serves multi-national companies, governmental bodies, and small and private companies in infrastructure, construction, power generation, aggregates, forestry, and energy sectors. The company was incorporated in 2006 and is headquartered in Edmonton, Canada.",TSX Venture Exchange,https://www.athabascaminerals.com,TSX,Other Industrial Metals & Mining,CA,Basic Materials,2008-02-13,2008-02-13,2023-11-03,3912,https://athabascaminerals.com/news/2024,
27,0746.HK,Lee & Man Chemical Company Limited,"Lee & Man Chemical Company Limited, an investment holding company, manufactures and sells chemical products in the People's Republic of China. It operates through two segments, Chemical and Property. The company offers caustic soda, chloromethane products, polymers, hydrogen peroxide, fluorochemical products, polytetrafluoroethylene, liquified chlorine, and other products, as well as provides styrene acrylic latex surface sizing agent and lithium-ion battery additives. In addition, it is involved in the development, sale, and rental of properties. The company was formerly known as Lee & Man Holding Limited and changed its name to Lee & Man Chemical Company Limited in June 2011. Lee & Man Chemical Company Limited was founded in 1976 and is headquartered in Kwun Tong, Hong Kong.",Hong Kong Stock Exchange,https://www.leemanchemical.com,HKSE,Chemicals,HK,Basic Materials,2002-01-16,2002-01-16,2023-11-06,5176,,
28,PGENY,Pigeon Corporation,"Pigeon Corporation manufactures, sells, imports, and exports baby and child-care products, maternity items, women's care products, home healthcare products, and elder care products in Japan and internationally. The company operates in four segments: Japan Business, China Business, Singapore Business, and Lansinoh Business. It offers breastfeeding, weaning, skincare, women's care, and large-sized products for babies, as well as other products for babies and mothers. The company also provides child-rearing support, babysitter dispatch, event child-care, and preschool education services; and operates child-minding facilities and daycare centers. In addition, it offers elder care and anti-aging products, and elder care support services; and baby and mother related care products, such as nursing bottles and nipples, toiletries, and skincare products. Pigeon Corporation markets its products under the Pigeon and Lansinoh brands. The company was formerly known as Pigeon Honyuki Honpo Corporation and changed its name to Pigeon Corporation in 1966. Pigeon Corporation was founded in 1949 and is headquartered in Tokyo, Japan.",OTC Markets Group Pink Sheets,https://www.pigeon.co.jp,PNK,Household & Personal Products,JP,Consumer Defensive,2012-01-31,2011-12-08,2023-11-06,2996,https://www.pigeon.co.jp/news/,
